Haciendo prueba con: 
Tamano del arreglo: 5000
 #ejec        is_t        ss_t        bs_t        ms_t        qs_t   is_stddev   ss_stddev   bs_stddev   ms_stddev   qs_stddev
     1	     0.01353     0.01734     0.01871     0.00039     0.05556     0.00000     0.00000     0.00000     0.00000     0.00000
     2	     0.01356     0.01732     0.01908     0.00039     0.06549     0.00000     0.00000     0.00000     0.00000     0.00000
     3	     0.01257     0.01740     0.01879     0.00036     0.05871     0.00000     0.00000     0.00000     0.00000     0.00000
     4	     0.01302     0.01792     0.02328     0.00053     0.08048     0.00000     0.00000     0.00000     0.00000     0.00000
     5	     0.01672     0.02232     0.02102     0.00036     0.05647     0.00000     0.00000     0.00000     0.00000     0.00000
     6	     0.01374     0.02511     0.02424     0.00051     0.05785     0.00000     0.00000     0.00000     0.00000     0.00000
     7	     0.01330     0.01748     0.01896     0.00038     0.05726     0.00000     0.00000     0.00000     0.00000     0.00000
     8	     0.01405     0.01907     0.01900     0.00044     0.07736     0.00000     0.00000     0.00000     0.00000     0.00000
     9	     0.01626     0.01792     0.02045     0.00036     0.06376     0.00000     0.00000     0.00000     0.00000     0.00000
    10	     0.01321     0.01832     0.01878     0.00036     0.05636     0.00000     0.00000     0.00000     0.00000     0.00000
    11	     0.01306     0.01921     0.01911     0.00036     0.05613     0.00000     0.00000     0.00000     0.00000     0.00000
    12	     0.01264     0.01989     0.01932     0.00036     0.05728     0.00000     0.00000     0.00000     0.00000     0.00000
    13	     0.01273     0.01858     0.01951     0.00036     0.06301     0.00000     0.00000     0.00000     0.00000     0.00000
    14	     0.01452     0.01823     0.01891     0.00036     0.05779     0.00000     0.00000     0.00000     0.00000     0.00000
    15	     0.01323     0.01820     0.02639     0.00036     0.05580     0.00000     0.00000     0.00000     0.00000     0.00000
    16	     0.01287     0.01794     0.01862     0.00038     0.05712     0.00000     0.00000     0.00000     0.00000     0.00000
    17	     0.01262     0.01812     0.01884     0.00036     0.05710     0.00000     0.00000     0.00000     0.00000     0.00000
    18	     0.01281     0.01818     0.01978     0.00036     0.05937     0.00000     0.00000     0.00000     0.00000     0.00000
    19	     0.01237     0.01824     0.01866     0.00036     0.05629     0.00000     0.00000     0.00000     0.00000     0.00000
    20	     0.01284     0.02108     0.04511     0.00054     0.08441     0.00000     0.00000     0.00000     0.00000     0.00000
    21	     0.01579     0.02404     0.02169     0.00038     0.05764     0.00000     0.00000     0.00000     0.00000     0.00000
    22	     0.01256     0.01907     0.01878     0.00036     0.05708     0.00000     0.00000     0.00000     0.00000     0.00000
    23	     0.01290     0.01818     0.02104     0.00036     0.05593     0.00000     0.00000     0.00000     0.00000     0.00000
    24	     0.01764     0.01849     0.01958     0.00050     0.05574     0.00000     0.00000     0.00000     0.00000     0.00000
    25	     0.01353     0.01828     0.01895     0.00038     0.05744     0.00000     0.00000     0.00000     0.00000     0.00000
    26	     0.01478     0.01845     0.01906     0.00036     0.06674     0.00000     0.00000     0.00000     0.00000     0.00000
    27	     0.01773     0.02864     0.01985     0.00038     0.05574     0.00000     0.00000     0.00000     0.00000     0.00000
    28	     0.01372     0.01733     0.01907     0.00051     0.07114     0.00000     0.00000     0.00000     0.00000     0.00000
    29	     0.01328     0.01744     0.01868     0.00036     0.05720     0.00000     0.00000     0.00000     0.00000     0.00000
    30	     0.01354     0.02139     0.01880     0.00036     0.05587     0.00000     0.00000     0.00000     0.00000     0.00000
*** TIEMPO PROMEDIO ***
Insertion sort:	0.01384
Selection sort:	0.01931
Bubble sort:	0.02074
Merge sort:	0.00040
Quicksort:	0.06080
*** DESVIACION ESTANDAR ***
Insertion sort:	0.00148
Selection sort:	0.00258
Bubble sort:	0.00487
Merge sort:	0.00006
Quick sort:	0.00765
