Haciendo prueba con: 
Tamano del arreglo: 10000
 #ejec        is_t        ss_t        bs_t        ms_t        qs_t   is_stddev   ss_stddev   bs_stddev   ms_stddev   qs_stddev
     1	     0.06557     0.07111     0.08929     0.00078     0.23117     0.00000     0.00000     0.00000     0.00000     0.00000
     2	     0.05854     0.07042     0.07643     0.00076     0.23434     0.00000     0.00000     0.00000     0.00000     0.00000
     3	     0.04860     0.08297     0.07683     0.00076     0.22723     0.00000     0.00000     0.00000     0.00000     0.00000
     4	     0.04688     0.07669     0.11348     0.00076     0.23677     0.00000     0.00000     0.00000     0.00000     0.00000
     5	     0.05456     0.07017     0.07683     0.00077     0.24627     0.00000     0.00000     0.00000     0.00000     0.00000
     6	     0.04969     0.06872     0.07854     0.00079     0.23423     0.00000     0.00000     0.00000     0.00000     0.00000
     7	     0.04923     0.07023     0.08606     0.00076     0.22514     0.00000     0.00000     0.00000     0.00000     0.00000
     8	     0.06989     0.10925     0.07661     0.00076     0.25894     0.00000     0.00000     0.00000     0.00000     0.00000
     9	     0.05010     0.07218     0.07569     0.00076     0.22908     0.00000     0.00000     0.00000     0.00000     0.00000
    10	     0.04915     0.10326     0.07875     0.00076     0.22538     0.00000     0.00000     0.00000     0.00000     0.00000
    11	     0.04721     0.06891     0.07685     0.00076     0.23103     0.00000     0.00000     0.00000     0.00000     0.00000
    12	     0.04739     0.06870     0.07649     0.00076     0.22684     0.00000     0.00000     0.00000     0.00000     0.00000
    13	     0.04878     0.07134     0.07552     0.00076     0.22915     0.00000     0.00000     0.00000     0.00000     0.00000
    14	     0.06713     0.07845     0.07556     0.00076     0.24192     0.00000     0.00000     0.00000     0.00000     0.00000
    15	     0.05546     0.07065     0.07558     0.00076     0.24053     0.00000     0.00000     0.00000     0.00000     0.00000
    16	     0.06102     0.09890     0.17562     0.00082     0.23294     0.00000     0.00000     0.00000     0.00000     0.00000
    17	     0.05259     0.07052     0.07553     0.00076     0.22592     0.00000     0.00000     0.00000     0.00000     0.00000
    18	     0.04814     0.07152     0.08398     0.00076     0.22988     0.00000     0.00000     0.00000     0.00000     0.00000
    19	     0.04819     0.06915     0.15422     0.00108     0.25115     0.00000     0.00000     0.00000     0.00000     0.00000
    20	     0.08107     0.11038     0.08413     0.00108     0.22783     0.00000     0.00000     0.00000     0.00000     0.00000
    21	     0.04777     0.07303     0.08040     0.00076     0.22866     0.00000     0.00000     0.00000     0.00000     0.00000
    22	     0.04811     0.07079     0.07984     0.00076     0.23426     0.00000     0.00000     0.00000     0.00000     0.00000
    23	     0.04671     0.07164     0.07569     0.00076     0.24394     0.00000     0.00000     0.00000     0.00000     0.00000
    24	     0.05571     0.06913     0.07767     0.00077     0.23296     0.00000     0.00000     0.00000     0.00000     0.00000
    25	     0.05415     0.07608     0.08045     0.00076     0.22711     0.00000     0.00000     0.00000     0.00000     0.00000
    26	     0.04769     0.07002     0.07677     0.00078     0.23013     0.00000     0.00000     0.00000     0.00000     0.00000
    27	     0.04831     0.07570     0.07571     0.00076     0.25650     0.00000     0.00000     0.00000     0.00000     0.00000
    28	     0.05043     0.07076     0.07712     0.00076     0.24548     0.00000     0.00000     0.00000     0.00000     0.00000
    29	     0.04886     0.07272     0.07843     0.00077     0.22965     0.00000     0.00000     0.00000     0.00000     0.00000
    30	     0.04874     0.06956     0.08260     0.00089     0.26452     0.00000     0.00000     0.00000     0.00000     0.00000
*** TIEMPO PROMEDIO ***
Insertion sort:	0.05319
Selection sort:	0.07643
Bubble sort:	0.08556
Merge sort:	0.00079
Quicksort:	0.23596
*** DESVIACION ESTANDAR ***
Insertion sort:	0.00808
Selection sort:	0.01192
Bubble sort:	0.02254
Merge sort:	0.00008
Quick sort:	0.01045
