Haciendo prueba con: 
Tamano del arreglo: 500
 #ejec        is_t        ss_t        bs_t        ms_t        qs_t   is_stddev   ss_stddev   bs_stddev   ms_stddev   qs_stddev
     1	     0.00019     0.00032     0.00041 4.86710e-05     0.00077     0.00000     0.00000     0.00000     0.00000     0.00000
     2	     0.00019     0.00034     0.00057 4.46640e-05     0.00086     0.00000     0.00000     0.00000     0.00000     0.00000
     3	     0.00019     0.00035     0.00041 4.56250e-05     0.00081     0.00000     0.00000     0.00000     0.00000     0.00000
     4	     0.00019     0.00033     0.00043 4.56250e-05     0.00082     0.00000     0.00000     0.00000     0.00000     0.00000
     5	     0.00019     0.00035     0.00041 4.45430e-05     0.00083     0.00000     0.00000     0.00000     0.00000     0.00000
     6	     0.00018     0.00035     0.00045 4.41930e-05     0.00077     0.00000     0.00000     0.00000     0.00000     0.00000
     7	     0.00019     0.00032     0.00042 4.50440e-05     0.00082     0.00000     0.00000     0.00000     0.00000     0.00000
     8	     0.00019     0.00035     0.00042 4.58060e-05     0.00082     0.00000     0.00000     0.00000     0.00000     0.00000
     9	     0.00019     0.00034     0.00040 4.42420e-05     0.00083     0.00000     0.00000     0.00000     0.00000     0.00000
    10	     0.00018     0.00035     0.00042 4.53950e-05     0.00078     0.00000     0.00000     0.00000     0.00000     0.00000
    11	     0.00020     0.00034     0.00040 4.53340e-05     0.00082     0.00000     0.00000     0.00000     0.00000     0.00000
    12	     0.00020     0.00035     0.00042 4.37320e-05     0.00081     0.00000     0.00000     0.00000     0.00000     0.00000
    13	     0.00019     0.00033     0.00040 4.47930e-05     0.00084     0.00000     0.00000     0.00000     0.00000     0.00000
    14	     0.00019     0.00035     0.00039 4.38420e-05     0.00078     0.00000     0.00000     0.00000     0.00000     0.00000
    15	     0.00018     0.00035     0.00040 4.44830e-05     0.00083     0.00000     0.00000     0.00000     0.00000     0.00000
    16	     0.00020     0.00035     0.00043 4.41630e-05     0.00078     0.00000     0.00000     0.00000     0.00000     0.00000
    17	     0.00020     0.00034     0.00039 4.45430e-05     0.00080     0.00000     0.00000     0.00000     0.00000     0.00000
    18	     0.00019     0.00035     0.00046 4.40520e-05     0.00078     0.00000     0.00000     0.00000     0.00000     0.00000
    19	     0.00019     0.00034     0.00041 4.63660e-05     0.00083     0.00000     0.00000     0.00000     0.00000     0.00000
    20	     0.00019     0.00035     0.00040 4.35810e-05     0.00075     0.00000     0.00000     0.00000     0.00000     0.00000
    21	     0.00022     0.00034     0.00041 4.52150e-05     0.00083     0.00000     0.00000     0.00000     0.00000     0.00000
    22	     0.00019     0.00037     0.00042 4.50740e-05     0.00077     0.00000     0.00000     0.00000     0.00000     0.00000
    23	     0.00019     0.00036     0.00054 4.43230e-05     0.00079     0.00000     0.00000     0.00000     0.00000     0.00000
    24	     0.00020     0.00035     0.00042 4.50440e-05     0.00078     0.00000     0.00000     0.00000     0.00000     0.00000
    25	     0.00019     0.00037     0.00042 4.40220e-05     0.00076     0.00000     0.00000     0.00000     0.00000     0.00000
    26	     0.00018     0.00035     0.00042 4.37710e-05     0.00077     0.00000     0.00000     0.00000     0.00000     0.00000
    27	     0.00018     0.00036     0.00042 4.49140e-05     0.00075     0.00000     0.00000     0.00000     0.00000     0.00000
    28	     0.00019     0.00035     0.00043 4.40520e-05     0.00077     0.00000     0.00000     0.00000     0.00000     0.00000
    29	     0.00019     0.00032     0.00044 4.42520e-05     0.00074     0.00000     0.00000     0.00000     0.00000     0.00000
    30	     0.00019     0.00035     0.00042 4.39720e-05     0.00076     0.00000     0.00000     0.00000     0.00000     0.00000
*** TIEMPO PROMEDIO ***
Insertion sort:	0.00019
Selection sort:	0.00034
Bubble sort:	0.00043
Merge sort:	0.00004
Quicksort:	0.00079
*** DESVIACION ESTANDAR ***
Insertion sort:	0.00001
Selection sort:	0.00001
Bubble sort:	0.00004
Merge sort:	0.00000
Quick sort:	0.00003
