Haciendo prueba con: 
Tamano del arreglo: 1000
 #ejec        is_t        ss_t        bs_t        ms_t        qs_t   is_stddev   ss_stddev   bs_stddev   ms_stddev   qs_stddev
     1	     0.00069     0.00188     0.00162     0.00010     0.00314     0.00000     0.00000     0.00000     0.00000     0.00000
     2	     0.00071     0.00122     0.00154     0.00009     0.00328     0.00000     0.00000     0.00000     0.00000     0.00000
     3	     0.00073     0.00134     0.00166     0.00009     0.00321     0.00000     0.00000     0.00000     0.00000     0.00000
     4	     0.00072     0.00128     0.00169     0.00010     0.00255     0.00000     0.00000     0.00000     0.00000     0.00000
     5	     0.00075     0.00189     0.00142 6.60330e-05     0.00226     0.00000     0.00000     0.00000     0.00000     0.00000
     6	     0.00070     0.00134     0.00170     0.00009     0.00234     0.00000     0.00000     0.00000     0.00000     0.00000
     7	     0.00072     0.00132     0.00165     0.00009     0.00226     0.00000     0.00000     0.00000     0.00000     0.00000
     8	     0.00070     0.00133     0.00148 6.53420e-05     0.00226     0.00000     0.00000     0.00000     0.00000     0.00000
     9	     0.00072     0.00132     0.00163 6.55220e-05     0.00224     0.00000     0.00000     0.00000     0.00000     0.00000
    10	     0.00071     0.00134     0.00145 6.56120e-05     0.00227     0.00000     0.00000     0.00000     0.00000     0.00000
    11	     0.00070     0.00132     0.00152 6.61430e-05     0.00220     0.00000     0.00000     0.00000     0.00000     0.00000
    12	     0.00070     0.00131     0.00173     0.00009     0.00232     0.00000     0.00000     0.00000     0.00000     0.00000
    13	     0.00075     0.00132     0.00130 6.52110e-05     0.00228     0.00000     0.00000     0.00000     0.00000     0.00000
    14	     0.00070     0.00133     0.00149 6.59930e-05     0.00228     0.00000     0.00000     0.00000     0.00000     0.00000
    15	     0.00072     0.00130     0.00155 6.57520e-05     0.00224     0.00000     0.00000     0.00000     0.00000     0.00000
    16	     0.00075     0.00134     0.00122 6.54930e-05     0.00243     0.00000     0.00000     0.00000     0.00000     0.00000
    17	     0.00077     0.00131     0.00146 6.57220e-05     0.00226     0.00000     0.00000     0.00000     0.00000     0.00000
    18	     0.00072     0.00131     0.00185     0.00009     0.00314     0.00000     0.00000     0.00000     0.00000     0.00000
    19	     0.00077     0.00134     0.00163     0.00010     0.00315     0.00000     0.00000     0.00000     0.00000     0.00000
    20	     0.00070     0.00132     0.00162 6.57630e-05     0.00226     0.00000     0.00000     0.00000     0.00000     0.00000
    21	     0.00076     0.00129     0.00141 6.67340e-05     0.00230     0.00000     0.00000     0.00000     0.00000     0.00000
    22	     0.00074     0.00132     0.00123 6.53520e-05     0.00224     0.00000     0.00000     0.00000     0.00000     0.00000
    23	     0.00073     0.00133     0.00122 6.57520e-05     0.00338     0.00000     0.00000     0.00000     0.00000     0.00000
    24	     0.00076     0.00133     0.00167 6.59430e-05     0.00231     0.00000     0.00000     0.00000     0.00000     0.00000
    25	     0.00071     0.00131     0.00144 6.58030e-05     0.00228     0.00000     0.00000     0.00000     0.00000     0.00000
    26	     0.00073     0.00131     0.00160     0.00010     0.00302     0.00000     0.00000     0.00000     0.00000     0.00000
    27	     0.00072     0.00131     0.00161     0.00010     0.00303     0.00000     0.00000     0.00000     0.00000     0.00000
    28	     0.00073     0.00158     0.00143     0.00009     0.00225     0.00000     0.00000     0.00000     0.00000     0.00000
    29	     0.00073     0.00133     0.00119 6.58630e-05     0.00223     0.00000     0.00000     0.00000     0.00000     0.00000
    30	     0.00092     0.00131     0.00156     0.00012     0.00316     0.00000     0.00000     0.00000     0.00000     0.00000
*** TIEMPO PROMEDIO ***
Insertion sort:	0.00073
Selection sort:	0.00136
Bubble sort:	0.00152
Merge sort:	0.00008
Quicksort:	0.00255
*** DESVIACION ESTANDAR ***
Insertion sort:	0.00004
Selection sort:	0.00015
Bubble sort:	0.00016
Merge sort:	0.00002
Quick sort:	0.00041
